id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15832847,Lovely loft in historic downtown Seattle,1838818,Kianoush,Downtown,Pioneer Square,47.60139533,-122.3308093,Entire home/apt,170,2,74,11/11/2018,3.03,10,177
15832893,"Bright, Modern Craftsman Bungalow near Greenlake",100235648,Christine,Other neighborhoods,Wallingford,47.66502466,-122.3356502,Entire home/apt,290,2,95,11/5/2018,3.96,1,212
15843583,Capitol Hill View Condo,5021935,Julianne,Capitol Hill,Broadway,47.61887527,-122.3279496,Entire home/apt,130,30,0,,,1,167
15845583,Swanky High-Rise Condo Downtown Pike Place Market,15082394,Jordan,Downtown,Central Business District,47.61169979,-122.3376066,Entire home/apt,109,1,119,11/5/2018,4.9,18,99
15856020,Beautiful Townhouse in Capitol Hill,63448288,Mona,Capitol Hill,Montlake,47.64133577,-122.3205531,Entire home/apt,150,2,4,9/4/2017,0.23,1,180
15856816,Cozy private room near UW and Seattle downtown,102757515,Ivy,University District,University District,47.660122,-122.3180095,Private room,60,1,2,12/4/2016,0.08,1,0
15858568,"Spacious Modern, 2 car garage high-end everything.",22816006,Seth,Other neighborhoods,Fremont,47.65216894,-122.3492333,Entire home/apt,335,21,2,1/4/2018,0.1,5,306
15858956,Vintage Bryant Park House,34235234,Sidney,Other neighborhoods,View Ridge,47.67679577,-122.28436,Entire home/apt,225,2,36,10/7/2018,1.54,1,28
15859042,"Mini home, away from home, in the heart of Seattle",71500140,Danish,Downtown,Belltown,47.61477326,-122.3418515,Entire home/apt,115,1,137,11/12/2018,5.83,1,160
15860415,Spacious home on historic Queen Anne hill,34392395,Sam,Queen Anne,East Queen Anne,47.63432757,-122.3556157,Entire home/apt,250,3,2,1/1/2017,0.09,2,99
15867997,Family-Friendly Designer House with a Cook's Kitchen,17050363,Kate,Other neighborhoods,Ravenna,47.68555774,-122.3033777,Entire home/apt,825,2,34,10/14/2018,1.39,1,36
15870468,"Modern Downtown Penthouse, Water View Private Deck",97026349,Peter,Downtown,Pioneer Square,47.5991539,-122.3351746,Entire home/apt,500,4,0,,,1,0
15884359,Sorrento Suite at Hotel Sorrento on First Hill,103005218,Hotel Sorrento,Downtown,First Hill,47.60804491,-122.3272931,Private room,399,1,4,10/5/2018,0.79,1,318
15885497,Private 1Bdr Apt Cap Hill / Parking / Kitchenette,50608719,Pete,Capitol Hill,Portage Bay,47.64313503,-122.317295,Entire home/apt,85,1,264,11/7/2018,10.8,1,151
15886380,"Cozy, Light-filled Studio in Capitol Hill",64293536,Brenna,Capitol Hill,Broadway,47.61528872,-122.3234656,Entire home/apt,76,4,5,5/22/2017,0.2,1,0
15898102,Amazing Rental in the Middle of it all!,4962900,Stay Alfred,Downtown,Central Business District,47.60703751,-122.3390933,Entire home/apt,349,2,24,9/10/2018,1.02,64,314
15898247,2-Bed 2-Bath Apt. 2 Blocks to the Waterfront!,4962900,Stay Alfred,Downtown,Central Business District,47.60695669,-122.3374222,Entire home/apt,349,2,16,2/24/2018,0.72,64,293
